雙和聯盟18季,2022/01/09,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
LeReve,4,1,0,5,1,,,,,,,,,,,,,,,
Super8,0,1,0,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
林凌,00,9,5,,4,1,4,1,5,4,,L,,,,,,,,
曾翔,77,3,2,,3,,1,2,5,5,,,,,,,,,,
方元廷,28,3,1,,,,2,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳緯,15,5,2;0,,,,,K,BB,,K,,,,,,,,
2,張紘睿,5,4,1;0,,,,,FO,K,,,GO,,,,,,,
3,洪暘昕,18,9,1;0,,,,,BB,,GO,,K,,,,,,,
4,林秉文,1,2,1;1,3;3;0,,,,BB,,GO,,,,,,,,,
4,曾翔,77,1;3,,,,,,,,,,BB,,,,,,,
5,蘇柏恩,23,3,2;0,,,,,K,,FO,,,,,,,,,
5,方元廷,,1,,,,,,,,,,FO,,,,,,,
6,林宗毅,52,DH,,,2;0,1,,,BB,,,,,,,,,,
6,林凌,00,2,,0;1;0,,,,,,,FO,,,,,,,,
7,王柏鈞,9,7,,,1;0,,,,K,,H,,,,,,,,
8,蕭清元,7,6,2;1,,1;0,,,,H,,K,,,,,,,,
9,郭東昇,27,8,,,1;0,,,,K,,H,,,,,,,,
