雙和聯盟17季,2022/03/20,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,0,5,,,,,,,,,,,,,,,,,
勝利海鷗,5,8,,,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,4,3,,2,2,1,2,7,4,1;1,L,,,,,,,,
劉昌翰,65,1,3,,2,1,,1,5,,1;1,,,,,,,,,
劉兆珩,8,4,1,,1,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,4,6,7,8,9,10,11,12
1,方元廷,28,3,2;1,,1;0,1,1,FO,,E,,2B,,,,,,,
2,蕭清元,4,6,1;0,,,,,K,,K,,,,,,,,,
2,陳宥竣,7,6,,,1;0,1,1,,,,,H,,,,,,,
3,鄭凱駿,2,2,,,0;1,,,E,,BB,,,,,,,,,
3,葉昀羲,16,2,,,,,,,,,,HBP,,,,,,,
4,陳昱仁,58,7,1;1,,,,,,K,K,,,,,,,,,
4,林凌,00,5,,,,,,,,,,BB,,,,,,,
5,林宗毅,32,5,3;3,,,,,,K,,,,,,,,,,
5,林秉文,1,7,,,,,1,,,,GO,HBP,,,,,,,
6,楊皓為,68,4,3;0,,,,,,H,,,,,,,,,,
6,陳緯,15,4,,,,,,,,,K,K,,,,,,,
7,郭東昇,27,8,,,,,,,H,,,,,,,,,,
7,邱冠融,73,8,,,,1,,,,,BB,,,,,,,,
8,劉祐宏,,9,1;0,,,,,,FO,,,,,,,,,,
8,洪暘昕,18,9,,,,1,,,,,BB,,,,,,,,
9,劉彧,12,DH,,,,,,,,GO,,,,,,,,,
9,劉兆珩,8,DH,,,,1,2,,,,2B,,,,,,,,
