雙和聯盟18季,2023/03/05,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
打擊狂人,1,1,1,1,0,1,0,,,,,,,,,,,,,
Super8,0,0,0,1,0,0,0,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,18,8,1,2,0,2,1,5,2,1;0,L,,,,,,,,
方元廷,28,3,1,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6,1;1,,,,,K,,,BB,,,,,,,,
1,楊皓為,68,4,2;0,,,,,,,,,BB,,,,,,,
2,陳昱仁,58,8,1;0,,,1,,GO,,,FC,,,,,,,,
2,郭東昇,27,8,,,,,,,,,,GO,,,,,,,
3,林凌,00,2;3,,1;2;0,,,,K,,,E,,K,,,,,,
4,方元廷,28,3;1,4;0,,,,,,K,,GO,,K,,,,,,
5,洪暘昕,18,9,3;1,,,,1,,K,,H,,H,,,,,,
6,張紘睿,5,4;5,5;1,,,,,,K,,,GO,GO,,,,,,
7,何世馨,66,7,2;0,,,,,,,K,,H,,K,,,,,
8,陳緯,15,5;6,2;0,,,,,,,GO,,HBP,,K,,,,,
9,邱冠融,73,DH,,,,,,,,GO,,,,,,,,,
9,葉昀羲,16,DH;2,,,,,,,,,,K,,K,,,,,
